id_envio,segmento_cliente,assunto_email,abriu,clicou,converteu
ENV0257,Recorrentes,Bem-vindo à nossa loja! 👋,1,1,1
ENV0258,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0259,Inativos,Confira as novidades da semana! 🚀,0,0,0
ENV0260,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0261,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0262,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0263,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0264,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0265,Recorrentes,Bem-vindo à nossa loja! 👋,1,1,0
ENV0266,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0267,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0268,Inativos,Confira as novidades da semana! 🚀,1,1,0
ENV0269,Novos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0270,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0271,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0272,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0273,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0274,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0275,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0276,Inativos,Confira as novidades da semana! 🚀,1,0,0
ENV0277,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0278,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0279,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0280,Recorrentes,Confira as novidades da semana! 🚀,1,1,1
ENV0281,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0282,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0283,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0284,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0285,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0286,VIP,Bem-vindo à nossa loja! 👋,1,0,0
ENV0287,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0288,Inativos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0289,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0290,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0291,VIP,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0292,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0293,Recorrentes,Confira as novidades da semana! 🚀,0,0,0
ENV0294,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0295,VIP,Confira as novidades da semana! 🚀,1,0,0
ENV0296,Inativos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0297,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0298,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0299,Inativos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0300,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0301,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,1
ENV0302,Inativos,Confira as novidades da semana! 🚀,1,0,0
ENV0303,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0304,Inativos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0305,Inativos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0306,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0307,Inativos,Confira as novidades da semana! 🚀,1,0,0
ENV0308,Novos,Confira as novidades da semana! 🚀,1,0,0
ENV0309,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0310,Novos,Confira as novidades da semana! 🚀,1,1,1
ENV0311,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0312,VIP,Bem-vindo à nossa loja! 👋,1,0,0
ENV0313,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0314,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0315,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0316,Inativos,Confira as novidades da semana! 🚀,1,1,0
ENV0317,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0318,VIP,Confira as novidades da semana! 🚀,0,0,0
ENV0319,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0320,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0321,Inativos,Confira as novidades da semana! 🚀,0,0,0
ENV0322,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0323,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0324,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0325,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0326,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0327,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0328,Inativos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0329,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0330,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0331,Novos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0332,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0333,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0334,VIP,Confira as novidades da semana! 🚀,1,1,0
ENV0335,VIP,Confira as novidades da semana! 🚀,1,1,1
ENV0336,VIP,Bem-vindo à nossa loja! 👋,1,1,0
ENV0337,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0338,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0339,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0340,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0341,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,1
ENV0342,Novos,Confira as novidades da semana! 🚀,1,1,1
ENV0343,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0344,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0345,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0346,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0347,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0348,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0349,Novos,Confira as novidades da semana! 🚀,1,1,0
ENV0350,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0351,Inativos,Confira as novidades da semana! 🚀,0,0,0
ENV0352,Recorrentes,Confira as novidades da semana! 🚀,1,1,0
ENV0353,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0354,VIP,Bem-vindo à nossa loja! 👋,1,0,0
ENV0355,VIP,Bem-vindo à nossa loja! 👋,1,1,1
ENV0356,Inativos,Confira as novidades da semana! 🚀,0,0,0
ENV0357,VIP,Confira as novidades da semana! 🚀,0,0,0
ENV0358,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0359,Recorrentes,Confira as novidades da semana! 🚀,1,1,1
ENV0360,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0361,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0362,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0363,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0364,Inativos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0365,Recorrentes,Confira as novidades da semana! 🚀,1,1,1
ENV0366,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0367,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0368,Recorrentes,Bem-vindo à nossa loja! 👋,1,1,0
ENV0369,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0370,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0371,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0372,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0373,VIP,Confira as novidades da semana! 🚀,1,1,0
ENV0374,Inativos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0375,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,1
ENV0376,Novos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0377,Recorrentes,Confira as novidades da semana! 🚀,0,0,0
